,id,question_stem,choices,answerKey,fact1,humanScore,clarity,turkIdAnonymized
11,1591,Which of these things will supplement a squirrel's caloric needs?,"{'text': array(['fish', 'tree bark', 'nuts', 'leaves'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,an animal needs to eat food for nutrients,0.8,1.6,303bb2cb4a
12,9-572,As you look deeper into a Marbel you can see,"{'text': array(['the future', 'minut defects', 'colors', 'the other side'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"as the size of an object appears larger , that object will be observed better",0.8,0.8,dc78319bb0
13,8-72,What happens when mercury is placed in water?,"{'text': array(['it dissolves', 'it sinks', 'it floats', 'it hardens'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,a body of water is a source of water,0.8,1.8,7804e1ff8e
14,7-235,"In the desert, a hawk may enjoy an occasional","{'text': array(['coyote', 'reptile', 'bat', 'scorpion'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,hawks eat lizards,1.0,1.0,b356d338b7
15,7-1167,A magnet will stick to,"{'text': array(['a belt buckle', 'a wooden table', 'a plastic cup',
       'a paper plate'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a magnet attracts magnetic metals through magnetism,1.0,2.0,83ad69bf22
16,1834,Shorter periods of daylight happen,"{'text': array(['October to December', 'November to March', 'December to April',
       'December to March'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,the amount of daylight is least in the winter,0.8,1.4,a8ecf6eaeb
17,9-872,"A person is lost in a dense forest, and needs to find their home. They know their home is to the south, and they are headed north. They can find home by using a","{'text': array(['northern-directing device', 'northern light reader',
       'northeastern winds', 'north central credit'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a compass is a kind of tool for determining direction by pointing north,1.0,1.6,b356d338b7
18,116,Where are you likely to find a nonrenewable resource?,"{'text': array(['a forest', 'a dam', 'a mine', 'a solar panel'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,natural gas is a nonrenewable resource,0.8,2.0,7189327f06
19,8-81,"A man is searching for his dog in the woods and brings a flashlight. The flashlight has two large batteries in it, which","{'text': array(['provide light due to wiring', 'provide light through plastic',
       'use light to heat the flashlight',
       'provide light due to moisture'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a flashlight converts chemical energy into light energy,1.0,1.8,b356d338b7
20,9-404,the summer solstice is on June 21st in the,"{'text': array(['in the south pacific', 'upper portion of earth',
       'lower portion of earth', 'the equator near the tropics'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,the summer solstice is on June 21st in the northern hemisphere,0.8,1.6,dc78319bb0
21,8-310,"A mouse is being hunted by a Great Horned Owl. The owl watches the mouse carefully, and the mouse is unaware that it is being hunted. The mouse is unable to tell where the owl is, because","{'text': array(['the owl is invisible', 'the mouse is oblivious',
       'the mouse is blind', 'the owl matches its background'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,camouflage is used for hiding by animals from predators,0.8,1.8,b356d338b7
22,1380,You would use a seismometer if,"{'text': array(['A mysterious rumble off the coast of Japan',
       'Someone farted in class', 'Kids were stomping on the floor',
       'to track the buzz of a bee'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a seismometer is used to measure the strength or magnitude of an earthquake,1.0,2.0,cee82219a0
23,7-1133,Many animals that give birth to live young have,"{'text': array(['gills', 'scales', 'exoskeletons', 'legs'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,mammals give birth to live young,1.0,1.2,7189327f06
24,9-295,A child will only grow if they are provided with,"{'text': array(['a bed', 'education', 'inspiration', 'energy'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,an organism requires energy for growth,1.0,1.6,dc78319bb0
25,9-512,"Every twenty-four hours and fifty minutes, the moon can have an effect on bodies of water causing them to","{'text': array(['swell', 'float', 'die', 'burn'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,high tide is a stage in the tide cycle process,1.0,2.0,b356d338b7
26,7-1065,The many trees on a forest floor,"{'text': array(['are unable to decay', 'are able to regrow themselves',
       'are broken down for good', 'broke, passed, will decay'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,if a tree falls then that tree is dead,1.0,1.8,b356d338b7
27,9-122,"A car is driving on a highway trying to get up the the speed limit. However, there are strong winds hitting the windshield of the car. Even though the driver is trying to speed up, the high winds","{'text': array(['flip the car over', 'help the car go faster',
       ""conflict with the driver's goal"", 'move the car sideways'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,a force acting on an object in the opposite direction that the object is moving can cause that object 's speed to decrease in a forward motion,1.0,2.0,b356d338b7
28,8-78,"a student leaves a nail line on a mineral sample, so that mineral can be described as what?","{'text': array(['a mineral', 'a soft mineral', 'a liquid mineral',
       'a mineral melt'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,if a mineral can be scratched by a fingernail then that mineral is soft,1.0,1.6,cf7109905e
29,7-749,"An example of a chemical change is acid breaking down substances, another is","{'text': array(['flour added to salt', 'milk added to water', 'corn added to soup',
       'lemon juice added to milk'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,An example of a chemical change is acid breaking down substances,1.0,2.0,b356d338b7
30,453,Matter in the gas phase has,"{'text': array(['fluctuating volume', 'turned up volume', 'turned down volume',
       'steady volume'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,Matter in the gas phase has variable volume,0.8,1.4,a8ecf6eaeb
31,9-439,an example of an excellent earth mover is,"{'text': array(['cat', 'dog', 'annelids', 'fish'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,earthworms create tunnels in soil,0.8,1.8,dc78319bb0
32,21,Which animal gives birth to live young?,"{'text': array(['Shark', 'Turtle', 'Giraffe', 'Spider'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,mammals give birth to live young,1.0,1.8,f4c2e991c2
33,9-938,"As a plant's roots get bigger, they split apart","{'text': array(['worms', 'water', 'granite', 'atoms'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,a plant 's roots slowly break down rocks as the roots grow,0.8,2.0,7c933a44d8
34,1695,"In the wilderness, light pollution is?","{'text': array(['less', 'stronger', 'brighter', 'more widespread'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"as distance to a city decreases , the amount of light pollution will increase",1.0,2.0,123d66ccd7
35,9-1171,Water vapor is an example of what?,"{'text': array(['moistness', 'warmth', 'heat', 'coldness'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,An example of moisture is water vapor in the atmosphere,1.0,1.6,1e6dc77bb6
36,9-1070,Heat and moisture in the ocean is a good recipe for,"{'text': array(['a violent storm', 'violent sea animals', 'condensation',
       'inland storms'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,an ocean is a source of heat and moisture for a hurricane,0.8,1.8,0d935542d3
37,9-650,"if the boiling point of water is attained, what ensues beyond this point?","{'text': array(['the water turns evaporates rapidly', 'the water then solidifies',
       'the water becomes black', 'all of these'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,steam is a kind of water above 100 degrees celsius,1.0,1.6,cf7109905e
38,384,What is the most likely to be an effect of acid rain on an aquatic environment?,"{'text': array(['decrease in plant life', 'increase in fish population',
       'increase in plant growth', 'cleaner and clearer water'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,acid rain has a negative impact on water quality,1.0,1.8,d2ccffd14b
39,1261,When the moon is full is has a different,"{'text': array(['size', 'weight', 'distance', 'appearance'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,the phases of the Moon change the appearance of the Moon,0.8,2.0,7189327f06
40,9-1051,What happens when a hemisphere is tilted away from the sun?,"{'text': array(['cools', 'nothing', 'heats', 'warms'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,winter is when a hemisphere is tilted away from the sun,1.0,2.0,1e6dc77bb6
41,1320,One renewable fuel source is,"{'text': array(['vegetable oil', 'coal', 'fossil fuel', 'petroleum fuel'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,alternative fuel is usually a renewable resource,0.8,1.8,a8ecf6eaeb
42,9-676,I can use electrical energy to,"{'text': array(['Run a mile', 'Swim', 'bake a bagel', 'Rock climb'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,a doorbell converts electrical energy into sound,1.0,2.0,cee82219a0
43,9-128,On the list of a flower's goals would be to,"{'text': array(['produce carbon dioxide', 'deroot and die', 'produce offspring',
       'remain sterile'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,a flower 's purpose is to produce seeds,1.0,1.8,a8ecf6eaeb
44,9-644,"A person wants to buy some reusable equipment for the kitchen, so they get","{'text': array(['paper plates', 'ceramic plates', 'solo cups', 'plastic forks'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,something reusable can be used more than once,0.8,1.8,b356d338b7
45,7-342,The only stage of the water cycle process that is nonexistent is,"{'text': array(['evaporation', 'evaluation', 'precipitation', 'condensation'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,evaporation is a stage in the water cycle process,1.0,1.8,b356d338b7
46,8-73,which of these would more likely survive?,"{'text': array(['a lost dog by the river, with small rodents',
       'a cat left in the desert',
       'a man drifting a raft at sea without supplies', 'none of these'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,the ability to access resources has a positive impact on an organism 's survival,0.8,1.2,cf7109905e
47,7-30,The moon's surface,"{'text': array(['is smooth on the entire surface',
       'contains large cavities cause by explosions',
       'contains an internal core of cheese', 'is filled with lakes'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,the moon 's surface contains many craters,1.0,1.6,a8ecf6eaeb
48,1310,Greenhouses,"{'text': array(['trap the dangerous gases released by plants',
       'protect plants from snow and frost',
       'keep plants from getting warm',
       'protect plants from mild weather'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,a greenhouse is used to protect plants from the cold,0.8,1.6,a8ecf6eaeb
49,1157,Earth rotating causes,"{'text': array(['the cycling of AM and PM', 'the creation of volcanic eruptions',
       'the cycling of the tides', 'the creation of gravity'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a planet rotating causes cycles of day and night on that planet,1.0,1.8,a8ecf6eaeb
50,9-672,which one of these can help a person cook their food?,"{'text': array(['a stack of clothes', 'a stack of cans', 'a pack of cigarettes',
       'a counter cooker appliance'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,a stove generates heat for cooking usually,1.0,2.0,cf7109905e
51,8-203,Sunlight produces heat that causes,"{'text': array(['dogs to bark', 'stones to form', 'warmth on bodies',
       'plastic to form'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,sunlight produces heat,1.0,2.0,4069604f6c
52,8-37,with which could you tell the exact size of an object?,"{'text': array(['a plain stick with irregular shape',
       'a plastic tape with graduated markings',
       'a thermometer with mercury in it', 'a metal cooking spoon'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,a tape measure is used to measure length,1.0,2.0,cf7109905e
53,1875,Which would be the result of the breeding of two wolves?,"{'text': array(['kittens', 'wolf pups', 'fox pups', 'dog pups'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,reproduction produces offspring,1.0,2.0,303bb2cb4a
54,7-678,Scales,"{'text': array(['measure how much belly fat the user has',
       'measure height of the user',
       'help users know if they need to drop some lbs.',
       'help users determine their blood sugar levels'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,a scale is used for measuring weight,1.0,2.0,a8ecf6eaeb
55,7-156,"When producers create food in an ecosystem, a portion of the nutrients are","{'text': array(['carbs', 'energy', 'grass', 'flowers'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a producer is a source of sugar in an ecosystem,0.8,1.0,b356d338b7
56,9-441,Two ships grazing each other as they pass will,"{'text': array(['cause mayhem', 'sink them', 'speed them up', 'slow them down'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,friction acts to counter the motion of two objects when their surfaces are touching,0.8,1.6,dc78319bb0
57,278,A battery converts chemical energy into,"{'text': array(['energy stored due to the relative positions of charged particles or electric fields',
       'energy stored due to the bombardment of particles',
       'energy stored between the cells of nonadjacent particles',
       'energy that is broken down in particles'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a battery converts chemical energy into electrical energy,1.0,1.8,b7b9b1d4ec
58,9-373,The leaves of a plant benefit from?,"{'text': array(['dog', 'sun', 'human', 'dust'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,chlorophyll is used for absorbing light energy by plants,1.0,2.0,0317ce7c33
59,7-16,Quartz may produce rainbows when light is shined,"{'text': array([""around the crystal's area"", 'through any of its sides',
       'in the room its in', 'in to a mirror at it'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,a quartz is made of six-sided transparent crystals,1.0,1.2,b356d338b7
60,8-264,"A woman is digging under a tree on a tall mountain. She is looking for interesting rocks, and a foot down into the soil, discovers a fossilized fish skeleton. From this discovery, the woman is able to determine that","{'text': array(['the mountain used to be underwater',
       'some bears in mountains eat fish',
       'some fish can climb mountains',
       'sometimes rain can move fish to high spaces'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,if fossils of a water animal or plant are found in a place then that place used to be covered by water in the past,0.8,1.8,b356d338b7
61,814,Which animal lacks the ability to see by sensing light?,"{'text': array(['Southern cave crayfish', 'lobster', 'cod', 'salmon'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,eyes are used for seeing by animals by sensing light,0.8,1.6,be7a45e47c
62,9-1116,Which animal emits something that many autistic people would be extra sensitive to?,"{'text': array(['cow', 'dog', 'cat', 'skunk'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,a skunk produces a bad odor,0.8,0.8,df774267ec
63,9-218,which of these usually occur over the shortest period?,"{'text': array(['a super size earthquake', 'a torrential rain fall',
       'all of these', 'the eruption of a volcano'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,an earthquake usually occurs over a period of 10 to 30 seconds,1.0,1.4,cf7109905e
64,9-200,If the sun has set it is,"{'text': array(['easy to cook a meal', 'time to eat breakfast',
       'necessary to wear a coat', 'harder to see outside'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,if it is night then the sun has set,1.0,1.2,c8d24331a4
65,7-282,A magnifying glass,"{'text': array(['would allow the user to better view the legs on an ant',
       'would enhance the smell of a viewed specimen',
       'would blur the legs of an ant',
       'would enhance the feel of the user'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,magnifying glass is used to see small things by making objects appear bigger,1.0,2.0,a8ecf6eaeb
66,9-207,What do rotating vanes on an electric fan do to air?,"{'text': array(['dampen', 'circulate', 'cool', 'warm'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,the vanes rotating in an electric fan causes air to move,0.8,1.8,1e6dc77bb6
67,8-408,An animal would have its inner parts better protected if it had which of these?,"{'text': array(['a backpack on its back', 'a calcium fortified internal structure',
       'none of these', 'a shell of cotton'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,the skeletal system protects internal organs,1.0,2.0,cf7109905e
68,1891,Plants require this to grow,"{'text': array(['fertilizer', 'cool temperatures', 'non-organic matter', 'H2O'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,a plants require water for to grow,0.8,1.4,123d66ccd7
69,7-969,Renewable resources,"{'text': array(['often come from fossil fuels', 'take centuries to biodegrade',
       'can be used ad infinitum', 'should be used conservatively'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,renewable resources can be used over again,1.0,2.0,a8ecf6eaeb
70,8-124,a day hiking will most likely result in which of these?,"{'text': array(['a paling of the skin', 'a greening of the skin',
       'an even darker tone', 'none of these'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,if something is outside during the day then that something will receive sunlight,1.0,1.2,cf7109905e
71,1288,Refraction,"{'text': array(['makes objects appear to be twice their size',
       'moves heat energy thru sound waves',
       'is the phenomenon involved in mirrors',
       'makes a straw appear broken when in a cup of water'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,refraction causes something to look different,1.0,1.0,a8ecf6eaeb
72,9-836,which of these can be considered a stage in the water cycle?,"{'text': array(['all of these', 'the combination of nails and hammers',
       'the presence of H20', 'the combination of chlorine and gas'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,condensation is a stage in the water cycle process,1.0,1.8,cf7109905e
73,9-725,Which of these items is required for a deer to live,"{'text': array(['sun', 'iron', 'sand', 'cafeteria'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,the sun is the source of energy for life on Earth,1.0,2.0,0317ce7c33
74,9-973,Where is the best place to shoot animals?,"{'text': array(['national park', 'sky', 'forest', 'sea'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,national parks limit hunting,1.0,1.2,0317ce7c33
75,7-892,Spiders can catch prey by doing all aside from,"{'text': array(['building webs', 'building traps', 'hunting', 'howling'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,a spider web is used to capture food by spiders,0.8,1.8,b356d338b7
76,112,When does electricity flow through a conductor?,"{'text': array([""when it's outside around lighting"",
       ""when it's attached to a battery"", ""when it's attached to a human"",
       ""when it's near a light bulb""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,sending electricity through a conductor causes electricity to flow through that conductor,0.8,1.6,7189327f06
77,9-608,I can use a stopwatch to track,"{'text': array(['The number of freckles I have on my back', 'How long the road is',
       'My weight loss in 6 months',
       'how many marshmallows I can eat in 10 minutes'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,a stopwatch is used to measure time,1.0,2.0,cee82219a0
78,306,"If John were going to the store, how would he measure his trip?","{'text': array(['kilometer', 'centimeter', 'decameter', 'meter'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,kilometers km are a unit used for measuring distance generally used for values between 1 and 50000000,0.8,1.2,9d751854d9
79,9-97,A man plugs his television into an outlet behind a cabinet. He sees that the television may now be turned on so that he can watch his favorite show. The man knows that by hooking the t.v. cord into the outlet,"{'text': array(['he completed a lap', 'he made a good deal',
       'he invented new circuits', 'he completed a circuit'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"when an electrical conductor is plugged into an outlet , a circuit is completed",1.0,2.0,b356d338b7
80,9-625,Which type of energy is the most environmentally friendly?,"{'text': array(['Coal', 'Petroleum', 'Natural Gas', 'Sunlight'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,solar energy is a renewable resource,1.0,2.0,8cb5b0688e
81,8-446,Which form can be made into a triangle?,"{'text': array(['ice', 'steam', 'water', 'salt water'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,Matter in the solid phase has definite shape,1.0,2.0,a9f90f5da1
82,9-451,who would see better through an underground tunnel?,"{'text': array(['a boy with a pen', 'a man with a stick', 'a man with a spoon',
       'a man with a candle and match'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,a candle is a source of light when it is burned,1.0,2.0,cf7109905e
83,884,There are now many more people because of,"{'text': array(['efficient farming', 'more cities', 'computers', 'global warming'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,the increase of something required by an organism has a positive impact on that organism 's survival,1.0,1.6,7189327f06
84,8-267,Water in a sealed jar might do what when placed in the freezer?,"{'text': array(['evaporate', 'break it', 'melt', 'run off'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"when water freezes , that water expands",1.0,1.6,9d751854d9
85,1230,What causes a chemical reaction?,"{'text': array(['mixing and heating edible items', 'putting water in a bowl',
       'petting a small cat', 'rolling a ball on a floor'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,cooking causes a chemical reaction,1.0,1.0,b356d338b7
86,9-283,What stores food for future use and is green?,"{'text': array(['bacteria', 'trout', 'virus', 'tree'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,usually plants store the food they produce for future use,1.0,1.2,52dbc5c7af
87,9-1088,Filling a bottle full of water and then placing it in the freezer can lead to,"{'text': array(['loosening of the bottle lid', 'deflation of the bottle',
       'ice cubes in the freezer', 'bursting of the bottle'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"when water freezes , that water expands",1.0,1.8,a8ecf6eaeb
88,9-446,What functions without contact between objects?,"{'text': array(['weight', 'friction', 'opposites attracting', 'pressure'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,magnetism does not require contact between objects to act,1.0,2.0,1e6dc77bb6
89,168,Which doesn't contain water?,"{'text': array(['Sea of Tranquilitiy', 'Caspian Sea', 'Dead Sea', 'Caribbean Sea'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,the moon does not contain water,1.0,2.0,be7a45e47c
90,7-6,Fungi,"{'text': array(['can do their food chain jobs without ingestion',
       'act as predators in the food chain', 'are always safe to ingest',
       'occupy the top of the food chain'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,In the food chain process fungi have the role of decomposer,1.0,1.6,a8ecf6eaeb
91,172,"Compared to a regular swimmer, a scuba diver deals with more","{'text': array(['heat', 'pressure', 'water', 'air'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"as an object descends into water , the pressure on that object will increase",1.0,2.0,7189327f06
92,1442,What is an example of the fact that a thing is dead once it dies after having previously lived?,"{'text': array(['a small squirrel falls from a tree and breaks its leg',
       'a panda stops eating and falls into a coma',
       'a dog is paralyzed and is unable to move',
       'a vibrant cat is deceased after being hit by a car'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,if a living thing dies then that living thing is dead,1.0,2.0,b356d338b7
93,8-212,Thunder clouds are,"{'text': array(['filled with beautiful music', 'of a significant weight',
       'the color light pink', 'take 10 years to form'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,clouds produce rain,1.0,1.2,cee82219a0
94,7-145,If someone is experiencing frequent falls,"{'text': array(['they should move out of their house',
       'they should just stop trying to walk',
       'they should try wearing slicker bottomed shoes',
       'they should try putting down carpet or throw rugs'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"as the smoothness of something increases , the friction of that something will decrease when its surface moves against another surface",0.8,1.2,a8ecf6eaeb
95,7-13,It is easiest to get a clear photo of the moon by,"{'text': array(['using a large magnifying glass', 'using a telephoto lens',
       'using a telescopic lens', 'looking through a microscope'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"as the size of an object appears larger , that object will be observed better",1.0,1.8,b356d338b7
96,7-88,Filling a glass with markers for cup amounts on it would be,"{'text': array(['seeing how much data is left on a phone',
       'a part of making chili', 'a way to consider getting something',
       'a way to collect data'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,An example of collecting data is measuring,0.8,1.0,b356d338b7
97,9-335,Winter snows follow Autumn's falling leaves by,"{'text': array(['three months', 'three days', 'three years', '12 months'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a new season occurs once per three months,1.0,1.6,7c933a44d8
98,7-1082,The way that squirrels put away food during the cool season ensures that they,"{'text': array(['survive', 'eat', 'live', 'grow'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,squirrels gather nuts in the autumn to eat during the winter,1.0,1.2,b356d338b7
99,7-898,An example of a consumer would be,"{'text': array(['a deer munching grass', 'a plant beginning to photosynthesize',
       'a squirrel eating a bug', 'a wolf eating a deer'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,consumers eat other organisms,0.8,0.4,b356d338b7
